time,gFx,gFy,gFz,TgF
1.000000,0.0071,0.9939,0.0293,0.994
1.001000,0.0061,0.9907,0.0293,0.991
1.001000,0.0059,0.9904,0.0298,0.991
1.001000,0.0046,0.9922,0.0281,0.993
1.002000,0.0054,0.9953,0.0271,0.996
1.026000,0.0076,0.9968,0.0242,0.997
1.027000,0.0046,1.0002,0.0235,1.001
1.027000,0.0051,1.0002,0.0235,1.001
1.027000,0.0054,1.0019,0.0200,1.002
1.028000,0.0046,1.0019,0.0176,1.002
1.028000,0.0044,1.0014,0.0188,1.002
1.028000,0.0068,1.0017,0.0183,1.002
1.029000,0.0068,1.0017,0.0183,1.002
1.029000,0.0056,1.0029,0.0200,1.003
1.029000,0.0051,1.0005,0.0195,1.001
1.030000,0.0051,1.0007,0.0200,1.001
1.030000,0.0064,1.0014,0.0208,1.002
1.030000,0.0056,1.0014,0.0225,1.002
1.030000,0.0046,1.0007,0.0232,1.001
1.032000,0.0059,1.0012,0.0237,1.001
1.034000,0.0049,0.9995,0.0235,1.000
1.036000,0.0046,0.9992,0.0227,1.000
1.039000,0.0046,0.9997,0.0217,1.000
1.041000,0.0049,1.0022,0.0235,1.002
1.043000,0.0046,1.0019,0.0217,1.002
1.045000,0.0051,1.0024,0.0203,1.003
1.046000,0.0046,1.0022,0.0200,1.002
1.047000,0.0054,1.0032,0.0208,1.003
1.049000,0.0049,1.0027,0.0186,1.003
1.052000,0.0046,1.0017,0.0181,1.002
1.054000,0.0042,1.0007,0.0186,1.001
1.056000,0.0046,1.0017,0.0191,1.002
1.062000,0.0046,1.0024,0.0208,1.003
1.062000,0.0046,1.0024,0.0208,1.003
1.063000,0.0046,1.0024,0.0208,1.003
1.064000,0.0046,1.0012,0.0227,1.001
1.066000,0.0044,0.9995,0.0239,1.000
1.067000,0.0037,0.9990,0.0239,0.999
1.070000,0.0042,0.9990,0.0247,0.999
1.074000,0.0024,1.0005,0.0220,1.001
1.076000,0.0022,1.0010,0.0222,1.001
1.078000,0.0029,1.0019,0.0198,1.002
1.079000,0.0037,1.0005,0.0213,1.001
1.080000,0.0020,1.0002,0.0203,1.000
1.082000,0.0024,0.9983,0.0181,0.998
1.084000,0.0022,0.9997,0.0166,1.000
1.086000,0.0010,0.9992,0.0178,0.999
1.102000,0.0015,0.9995,0.0193,1.000
1.105000,0.0012,1.0012,0.0195,1.001
1.106000,0.0017,1.0022,0.0205,1.002
1.107000,0.0029,1.0027,0.0200,1.003
1.108000,0.0039,1.0041,0.0205,1.004
1.109000,0.0046,1.0022,0.0203,1.002
1.110000,0.0039,1.0022,0.0205,1.002
1.110000,0.0042,1.0029,0.0217,1.003
1.112000,0.0034,1.0039,0.0195,1.004
1.112000,0.0039,1.0022,0.0210,1.002
1.114000,0.0039,1.0036,0.0205,1.004
1.115000,0.0044,1.0022,0.0193,1.002
1.116000,0.0034,1.0019,0.0191,1.002
1.117000,0.0027,1.0010,0.0188,1.001
1.118000,0.0032,1.0002,0.0188,1.000
1.119000,0.0027,0.9985,0.0173,0.999
1.119000,0.0042,0.9973,0.0169,0.997
1.133000,0.0046,0.9983,0.0183,0.998
1.134000,0.0046,0.9983,0.0178,0.998
1.134000,0.0046,1.0000,0.0205,1.000
1.134000,0.0037,1.0005,0.0213,1.001
1.135000,0.0046,1.0032,0.0205,1.003
1.135000,0.0049,1.0034,0.0203,1.004
1.135000,0.0049,1.0044,0.0205,1.005
1.141000,0.0064,1.0044,0.0210,1.005
